case,gross_property_cash_income_yield_pct,property_cash_income_aud,other_portfolio_income_cash_aud,total_taxable_aud,owner_net_tax_aud,mls_aud,net_household_income_aud,deficit_surplus_aud,effective_owner_tax_rate_pct
core_FY2026-27_no_PHI,3.5,77000.0,30010.76,117542.05,17602.17,1175.42,88233.17,17637.17,14.98
core_FY2026-27_no_PHI,4.0,88000.0,30010.76,128542.05,21122.17,1285.42,95603.17,25007.17,16.43
core_FY2026-27_no_PHI,4.5,99000.0,30010.76,139542.05,24960.11,1395.42,102655.23,32059.23,17.89
core_FY2026-27_no_PHI,5.0,110000.0,30010.76,150542.05,29250.11,1505.42,109255.23,38659.23,19.43
core_FY2026-27_no_PHI,5.5,121000.0,30010.76,161542.05,33540.11,1615.42,115855.23,45259.23,20.76
defensive_FY2026-27_no_PHI,3.5,77000.0,17739.16,100943.37,16617.66,0,78121.49,7525.49,16.46
defensive_FY2026-27_no_PHI,4.0,88000.0,17739.16,111943.37,20137.66,0,85601.49,15005.49,17.99
defensive_FY2026-27_no_PHI,4.5,99000.0,17739.16,122943.37,23657.66,1229.43,91852.06,21256.06,19.24
defensive_FY2026-27_no_PHI,5.0,110000.0,17739.16,133943.37,27177.66,1339.43,99222.06,28626.06,20.29
defensive_FY2026-27_no_PHI,5.5,121000.0,17739.16,144943.37,31393.7,1449.43,105896.02,35300.02,21.66
core_no_franking,3.5,77000.0,30010.76,108799.62,23547.02,0,83463.74,12867.74,21.64
core_no_franking,4.0,88000.0,30010.76,119799.62,27067.02,0,90943.74,20347.74,22.59
core_no_franking,4.5,99000.0,30010.76,130799.62,30587.02,0,98423.74,27827.74,23.38
core_no_franking,5.0,110000.0,30010.76,141799.62,34582.99,0,105427.77,34831.77,24.39
core_no_franking,5.5,121000.0,30010.76,152799.62,38872.99,0,112137.77,41541.77,25.44
core_no_MLS_control,3.5,77000.0,30010.76,117542.05,17602.17,0,89408.59,18812.59,14.98
core_no_MLS_control,4.0,88000.0,30010.76,128542.05,21122.17,0,96888.59,26292.59,16.43
core_no_MLS_control,4.5,99000.0,30010.76,139542.05,24960.11,0,104050.65,33454.65,17.89
core_no_MLS_control,5.0,110000.0,30010.76,150542.05,29250.11,0,110760.65,40164.65,19.43
core_no_MLS_control,5.5,121000.0,30010.76,161542.05,33540.11,0,117470.65,46874.65,20.76
core_no_frank_no_PHI,3.5,77000.0,30010.76,108799.62,23547.02,0,83463.74,12867.74,21.64
core_no_frank_no_PHI,4.0,88000.0,30010.76,119799.62,27067.02,1198.0,89745.74,19149.74,22.59
core_no_frank_no_PHI,4.5,99000.0,30010.76,130799.62,30587.02,1308.0,97115.74,26519.74,23.38
core_no_frank_no_PHI,5.0,110000.0,30010.76,141799.62,34582.99,1418.0,104009.77,33413.77,24.39
core_no_frank_no_PHI,5.5,121000.0,30010.76,152799.62,38872.99,1528.0,110609.77,40013.77,25.44
defensive_no_MLS_control,3.5,77000.0,17739.16,100943.37,16617.66,0,78121.49,7525.49,16.46
defensive_no_MLS_control,4.0,88000.0,17739.16,111943.37,20137.66,0,85601.49,15005.49,17.99
defensive_no_MLS_control,4.5,99000.0,17739.16,122943.37,23657.66,0,93081.49,22485.49,19.24
defensive_no_MLS_control,5.0,110000.0,17739.16,133943.37,27177.66,0,100561.49,29965.49,20.29
defensive_no_MLS_control,5.5,121000.0,17739.16,144943.37,31393.7,0,107345.46,36749.46,21.66
defensive_no_PHI_MLS,3.5,77000.0,17739.16,100943.37,16617.66,0,78121.49,7525.49,16.46
defensive_no_PHI_MLS,4.0,88000.0,17739.16,111943.37,20137.66,0,85601.49,15005.49,17.99
defensive_no_PHI_MLS,4.5,99000.0,17739.16,122943.37,23657.66,1229.43,91852.06,21256.06,19.24
defensive_no_PHI_MLS,5.0,110000.0,17739.16,133943.37,27177.66,1339.43,99222.06,28626.06,20.29
defensive_no_PHI_MLS,5.5,121000.0,17739.16,144943.37,31393.7,1449.43,105896.02,35300.02,21.66
defensive_no_frank_no_PHI,3.5,77000.0,17739.16,95822.16,20100.09,0,74639.07,4043.07,20.98
defensive_no_frank_no_PHI,4.0,88000.0,17739.16,106822.16,23620.09,0,82119.07,11523.07,22.11
defensive_no_frank_no_PHI,4.5,99000.0,17739.16,117822.16,27140.09,1178.22,88420.84,17824.84,23.03
defensive_no_frank_no_PHI,5.0,110000.0,17739.16,128822.16,30660.09,1288.22,95790.84,25194.84,23.8
defensive_no_frank_no_PHI,5.5,121000.0,17739.16,139822.16,34517.64,1398.22,102823.29,32227.29,24.69
